geography_key,club_id,club_name,province,city,country,primary_language,zipcode
337,666,CENTRUM THERAPEUTISCH PAARDRIJDEN,Vlaams-Brabant,Landen,Belgium,Dutch,3400
338,669,OOSTHEUVEL,Limburg,Genk,Belgium,Dutch,3600
339,670,RAAKZAAM,Oost-Vlaanderen,Sint Niklaas,Belgium,Dutch,9100
340,672,TANDEM  WEST,West-Vlaanderen,Koksijde,Belgium,Dutch,8670
341,673,BUITENBEENTJES,Oost-Vlaanderen,Sinaai,Belgium,Dutch,9112
342,674,DE BUITELAARS,Oost-Vlaanderen,Eeklo,Belgium,Dutch,9900
343,675,'T PERDJE,Antwerpen,Laakdal,Belgium,Dutch,2430
344,678,HET PLUIMKE,Limburg,Kinrooi,Belgium,Dutch,3640
345,680,TC STANDAARD WETTEREN-OCTOPUS MERELBEKE,Oost-Vlaanderen,Merelbeke,Belgium,Dutch,9820
346,682,DE BORGGRAAF-HASSELT,Limburg,Genk,Belgium,Dutch,3600
347,683,REAL FC BERG,Limburg,Neeroeteren,Belgium,Dutch,3680
348,685,HEISTSE TENNISCLUB VZW,Antwerpen,Hallaar,Belgium,Dutch,2220
349,686,GT WIMBLEDON,Limburg,Wilderen,Belgium,Dutch,3803
350,689,T.C. DE DAGERAAD,Antwerpen,Beerse,Belgium,Dutch,2340
351,690,DE SCHELP,Antwerpen,Brecht,Belgium,Dutch,2960
352,691,DE DIABOLO'S,Antwerpen,Berchem,Belgium,Dutch,2600
353,693,'T ATELJEE,Antwerpen,Boechout,Belgium,Dutch,2530
354,694,DE PELIKAAN,West-Vlaanderen,Menen,Belgium,Dutch,8930
355,695,INDIVIDUALS,Oost-Vlaanderen,Gentbrugge,Belgium,Dutch,9050
356,696,TRIANGEL JEUGDSPORT,Oost-Vlaanderen,Lovendegem,Belgium,Dutch,9920
357,697,VONDELS VZW,West-Vlaanderen,Ieper,Belgium,Dutch,8900
358,699,'T VELDZICHT,West-Vlaanderen,Sint-Kruis Brugge,Belgium,Dutch,8310
359,700,ZONNESTRAAL VZW,Vlaams-Brabant,Herfelingen,Belgium,Dutch,1540
360,703,KABAS,West-Vlaanderen,Deerlijk,Belgium,Dutch,8540
361,704,G-BASKET LOMMEL,Limburg,Lommel,Belgium,Dutch,3920
362,707,KBBC ZOLDER,Limburg,Heusden-Zolder,Belgium,Dutch,3550
363,708,KSAV SINT-DIMPNA,Antwerpen,Geel,Belgium,Dutch,2440
364,709,BC ASSE TERNAT,Vlaams-Brabant,Ternat,Belgium,Dutch,1741
365,710,KOG-STASEGEM G-VOETBAL,West-Vlaanderen,Harelbeke-Stasegem,Belgium,Dutch,8530
366,711,G-OMNISPORTCLUB VLAAMSE ARDENNEN,Oost-Vlaanderen,Kluisbergen,Belgium,Dutch,9690
367,713,JC-GRUITRODE,Limburg,Meeuwen-Gruitrode,Belgium,Dutch,3670
368,714,UNIFIED SAILING BELGIUM VZW,Antwerpen,Boechout,Belgium,Dutch,2530
369,715,SOMIVAL VZW,West-Vlaanderen,Waregem,Belgium,Dutch,8790
370,716,BBC GEMBO,Antwerpen,Antwerpen,Belgium,Dutch,2060
371,718,VZW TENNISCLUB LUMMEN,Limburg,Lummen,Belgium,Dutch,3560
372,719,DE NISSE,West-Vlaanderen,Kortrijk,Belgium,Dutch,8500
373,720,KONINKLIJKE LEBBEEKSE ATLETIEKCLUB,Oost-Vlaanderen,Lebbeke,Belgium,Dutch,9280
374,721,SPORTCLUB HUIS IN DE STAD VZW,Vlaams-Brabant,Tienen,Belgium,Dutch,3300
375,722,'T HAVERENHOF VZW,Vlaams-Brabant,Eppegem,Belgium,Dutch,1980
376,723,KORTRIJK SPURS VZW,West-Vlaanderen,Zwevegem,Belgium,Dutch,8550
377,724,SPINSHUTTLE,Antwerpen,Dessel,Belgium,Dutch,2480
378,725,OSTEND TENNIS CLUB,West-Vlaanderen,Oostende,Belgium,Dutch,8400
379,727,AC DEINZE,Oost-Vlaanderen,Deinze,Belgium,Dutch,9800
380,729,2GETHER ON WHEELS,Antwerpen,Brasschaat,Belgium,Dutch,2930
381,730,BBC FALCO GENT,Oost-Vlaanderen,Gent,Belgium,Dutch,9000
382,731,GYMFLEX VZW,Antwerpen,Mechelen,Belgium,Dutch,2800
383,732,TERNATSE OMNISPORT VOOR ANDERSVALIDEN,Vlaams-Brabant,Wambeek,Belgium,Dutch,1741
384,733,NET CONNECT CYCLING TEAM,Antwerpen,Kasterlee,Belgium,Dutch,2460
385,734,AC HERENTALS,Antwerpen,Herentals,Belgium,Dutch,2200
386,735,GEMEENTELIJKE TENNIS TESSENDERLO,Limburg,Laakal,Belgium,Dutch,2430
387,736,OKIDO BASKET,Antwerpen,Arendonk,Belgium,Dutch,2370
388,738,DALO VZW,Limburg,Lommel,Belgium,Dutch,3920
389,740,TER HEIDE,Limburg,Genk,Belgium,Dutch,3600
390,741,GYM MOL,Antwerpen,Laakdal,Belgium,Dutch,2431
391,742,NOORDERWIJKSE BADMINTONCLUB ,Antwerpen,Noorderwijk,Belgium,Dutch,2200
392,744,OC CIRKANT,West-Vlaanderen,Aartrijke,Belgium,Dutch,8211
393,745,GENTSE G-DUIVELS,Oost-Vlaanderen,Wondelgem,Belgium,Dutch,9032
394,746,A-JUDOCLUB TATAMIVRIENDEN,Oost-Vlaanderen,Bazel,Belgium,Dutch,9150
395,747,LOKERSE BADMINTONCLUB,Oost-Vlaanderen,Lokeren,Belgium,Dutch,9160
396,748,TTC RECREAS GULLEGEM,West-Vlaanderen,Rollegem,Belgium,Dutch,8510
397,749,LIONS TORHOUT,West-Vlaanderen,Torhout,Belgium,Dutch,8820
398,750,BALTI SPECIALS KORTRIJK,West-Vlaanderen,Kortrijk,Belgium,Dutch,8500
399,751,WAASLANDSE G-BASKETTERS,Antwerpen,Burcht,Belgium,Dutch,2070
400,752,GFC SK BEVEREN,Oost-Vlaanderen,Elversele,Belgium,Dutch,9140
401,753,EUROSTARS,Antwerpen,Merksem,Belgium,Dutch,2170
402,754,NO LIMIT VZW,Antwerpen,Wilrijk,Belgium,Dutch,2610
403,755,WAVERSE BADMINTONCLUB,Antwerpen,Koningshooikt,Belgium,Dutch,2500
404,756,DE BOOMHUT,Antwerpen,Boom,Belgium,Dutch,2850
405,757,ANTWERP CYCLING TEAM KONTICH,Antwerpen,Kontich,Belgium,Dutch,2550
406,758,K.W.T.P.C.,Limburg,Genk,Belgium,Dutch,3600
407,759,K SCHELLE SPORT,Antwerpen,Schelle,Belgium,Dutch,2627
408,760,BRAXGATA,Antwerpen,Berchem,Belgium,Dutch,2600
409,761,ROYAL VICTORY HOCKEY CLUB,Antwerpen,Antwerpen,Belgium,Dutch,2018
410,762,HORSE FUN VERBRANDE BRUG,Vlaams-Brabant,Eppegem,Belgium,Dutch,1980
411,763,GEELSE KAJAKVAARDERS,Antwerpen,Geel,Belgium,Dutch,2440
412,764,KMTHC,Antwerpen,Mechelen,Belgium,Dutch,2800
413,765,KHC DRAGONS vzw,Antwerpen,Brasschaat,Belgium,Dutch,2930
414,766,VRIJBROEK HOCKEY CLUB MECHELEN,,Mechelen,Belgium,Dutch,2800
415,767,GIDOS,West-Vlaanderen,Waregem,Belgium,Dutch,8790
416,768,KONINKLIJKE TURNKRING BOOM,Antwerpen,Boom,Belgium,Dutch,2850
417,769,JUDO CLUB LEOPOLDSBURG,Limburg,Leopoldsburg,Belgium,Dutch,3971
418,770,BADMINTON WAREGEM,West-Vlaanderen,Waregem,Belgium,Dutch,8790
419,771,3MASTER,Antwerpen,Kasterlee,Belgium,Dutch,2460
420,772,TURNKRING DEUGD EN MOED EKEREN,Antwerpen,Ekeren,Belgium,Dutch,2180
421,773,BOAS,West-Vlaanderen,Kortrijk,Belgium,Dutch,8500
422,774,SwimAcad,Oost-Vlaanderen,Gent,Belgium,Dutch,9000
423,775,MANEGE DENNENHOF,Oost-Vlaanderen,Landegem,Belgium,Dutch,9850
424,776,K. SPORTING WIJCHMAAL,,Peer,Belgium,Dutch,3990
425,777,CITY PIRATES,Antwerpen,Merksem,Belgium,Dutch,2170
426,778,BELOEGA FIT,Vlaams-Brabant,Herent,Belgium,Dutch,3020
427,779,Ruitersclub Domein Leiedal,West-Vlaanderen,Bissegem,Belgium,Dutch,8501
428,780,BASKET DESSELGEM,West-Vlaanderen,Waregem,Belgium,Dutch,8791
429,781,ESSENSE TENNISCLUB INTER,Antwerpen,Essen,Belgium,Dutch,2910
430,782,Sportgroep Vaste Vuist Lauwe,West-Vlaanderen,Lauwe,Belgium,Dutch,8930
431,783,KIDS HASSELT,Limburg,Hasselt,Belgium,Dutch,3500
432,784,KONINKLIJKE HOCKEYCLUB BRUGGE,West-Vlaanderen,Brugge,Belgium,Dutch,8200
433,785,G-VOETBAL KORTRIJK,West-Vlaanderen,Kortrijk,Belgium,Dutch,8500
434,786,KHC SAINT-GEORGES,West-Vlaanderen,Kortrijk,Belgium,Dutch,8500
435,787,ATHLETES FOR HOPE,Antwerpen,Wuustwezel,Belgium,Dutch,2990
436,788,HERK-SPORT,Limburg,Hasselt,Belgium,Dutch,3500
